"GO.ID","Term","Annotated","Significant","Expected","FoldEnrichment","p_classic","fdr_classic_BH","p_weight01"
"GO:0046130","purine ribonucleoside catabolic process",5,1,0.01,151.2,0.00660063842599812,1,0.00660063842599812
"GO:0046500","S-adenosylmethionine metabolic process",5,1,0.01,151.2,0.00660063842599812,1,0.00660063842599812
"GO:0070911","global genome nucleotide-excision repair",5,1,0.01,151.2,0.00660063842599812,1,0.00660063842599812
"GO:0042219","cellular modified amino acid catabolic process",6,1,0.01,126,0.00791683499648388,1,0.00791683499648388
"GO:0044273","sulfur compound catabolic process",8,1,0.01,94.5,0.0105453039652966,1,0.0105453039652966
"GO:0006409","tRNA export from nucleus",11,1,0.01,68.73,0.0144782099935492,1,0.0144782099935492
"GO:0006656","phosphatidylcholine biosynthetic process",12,1,0.02,63,0.0157865694890766,1,0.0157865694890766
"GO:0006534","cysteine metabolic process",13,1,0.02,58.15,0.017093625837697,1,0.017093625837697
"GO:0006641","triglyceride metabolic process",14,1,0.02,54,0.0183993799049997,1,0.0183993799049997
"GO:0006334","nucleosome assembly",17,1,0.02,44.47,0.0223088370705999,1,0.0223088370705999
"GO:0007094","mitotic spindle assembly checkpoint signaling",19,1,0.03,39.79,0.0249086462973052,1,0.0249086462973052
"GO:0006555","methionine metabolic process",21,1,0.03,36,0.0275032671484765,1,0.0275032671484765
"GO:0002182","cytoplasmic translational elongation",23,1,0.03,32.87,0.0300927065315851,1,0.0300927065315851
"GO:0009303","rRNA transcription",23,1,0.03,32.87,0.0300927065315851,1,0.0300927065315851
"GO:0097164","ammonium ion metabolic process",23,1,0.03,32.87,0.0300927065315851,1,0.0300927065315851
"GO:0031445","regulation of heterochromatin formation",24,1,0.03,31.5,0.0313854853299437,1,0.0313854853299437
"GO:1901606","alpha-amino acid catabolic process",26,1,0.03,29.08,0.0339671654524052,1,0.0339671654524052
"GO:0009063","amino acid catabolic process",30,1,0.04,25.2,0.039115039930161,1,0.039115039930161
"GO:0051701","biological process involved in interaction with host",35,1,0.05,21.6,0.0455209182396282,1,0.0455209182396282
