"GO.ID","Term","Annotated","Significant","Expected","FoldEnrichment","p_classic","fdr_classic_BH","p_weight01"
"GO:0019752","carboxylic acid metabolic process",283,19,4.21,4.51,4.08594142234888e-09,6.48065263664356e-06,1
"GO:0043436","oxoacid metabolic process",292,19,4.35,4.37,6.9673566546131e-09,6.48065263664356e-06,1
"GO:0006082","organic acid metabolic process",293,19,4.36,4.36,7.38395666917231e-09,6.48065263664356e-06,1
"GO:0044281","small molecule metabolic process",542,24,8.07,2.98,6.63505444599057e-08,4.36752458907329e-05,1
"GO:0016999","antibiotic metabolic process",43,8,0.64,12.5,1.23801167913889e-07,6.51936950234541e-05,0.000550457469941276
"GO:0032787","monocarboxylic acid metabolic process",105,11,1.56,7.04,1.97939272145849e-07,8.68623505933365e-05,1
"GO:0015976","carbon utilization",11,5,0.16,30.55,2.51425101752132e-07,9.45717561304804e-05,2.51425101752132e-07
"GO:0006083","acetate metabolic process",6,4,0.09,44.8,6.28817558930104e-07,0.00020695957908287,6.28817558930104e-07
"GO:0006091","generation of precursor metabolites and energy",133,11,1.98,5.56,2.22427709987957e-06,0.000650724622664768,1
"GO:0044282","small molecule catabolic process",92,9,1.37,6.57,5.41579992592121e-06,0.00116786246630369,1
"GO:0016053","organic acid biosynthetic process",149,11,2.22,4.96,6.85118071289803e-06,0.00116786246630369,1
"GO:0046394","carboxylic acid biosynthetic process",149,11,2.22,4.96,6.85118071289803e-06,0.00116786246630369,1
"GO:0046365","monosaccharide catabolic process",20,5,0.3,16.8,7.63540366739437e-06,0.00116786246630369,1
"GO:0006007","glucose catabolic process",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,1
"GO:0006735","NADH regeneration",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,1
"GO:0061615","glycolytic process through fructose-6-phosphate",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,1
"GO:0061620","glycolytic process through glucose-6-phosphate",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,1
"GO:0061621","canonical glycolysis",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,8.42741620196357e-06
"GO:0061718","glucose catabolic process to pyruvate",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,1
"GO:0072330","monocarboxylic acid biosynthetic process",54,7,0.8,8.71,1.04634349958227e-05,0.00137751121720006,1
"GO:0006094","gluconeogenesis",23,5,0.34,14.61,1.6028952301369e-05,0.00191837415497748,1.6028952301369e-05
"GO:0019319","hexose biosynthetic process",23,5,0.34,14.61,1.6028952301369e-05,0.00191837415497748,1
"GO:0044283","small molecule biosynthetic process",267,14,3.97,3.52,1.6980246633076e-05,0.00194386910369083,1
"GO:0046364","monosaccharide biosynthetic process",24,5,0.36,14,2.00237247552915e-05,0.00219676947002844,1
"GO:0042866","pyruvate biosynthetic process",13,4,0.19,20.68,2.77697515121624e-05,0.00292471022926095,2.77697515121624e-05
"GO:0017001","antibiotic catabolic process",14,4,0.21,19.2,3.84561213403631e-05,0.00389442182650677,3.84561213403631e-05
"GO:0019320","hexose catabolic process",15,4,0.22,17.92,5.18716951331444e-05,0.00505845086242848,1
"GO:0006096","glycolytic process",16,4,0.24,16.8,6.84126651468429e-05,0.00643323383327276,1
"GO:0043648","dicarboxylic acid metabolic process",50,6,0.74,8.06,7.49863710698595e-05,0.00680824534575656,1
"GO:0046031","ADP metabolic process",17,4,0.25,15.81,8.8493294455617e-05,0.00776676147672132,8.8493294455617e-05
"GO:0006734","NADH metabolic process",18,4,0.27,14.93,0.000112544448691139,0.00897968283041723,0.000112544448691139
"GO:0009135","purine nucleoside diphosphate metabolic process",18,4,0.27,14.93,0.000112544448691139,0.00897968283041723,1
"GO:0009179","purine ribonucleoside diphosphate metabolic process",18,4,0.27,14.93,0.000112544448691139,0.00897968283041723,1
"GO:0009166","nucleotide catabolic process",19,4,0.28,14.15,0.000141012182147555,0.0106081450169861,0.000141012182147555
"GO:0009435","NAD biosynthetic process",19,4,0.28,14.15,0.000141012182147555,0.0106081450169861,0.000141012182147555
"GO:0009605","response to external stimulus",171,10,2.54,3.93,0.000145702921839377,0.0106565498111967,1
