"GO.ID","Term","Annotated","Significant","Expected","FoldEnrichment","p_classic","fdr_classic_BH","p_weight01"
"GO:0015976","carbon utilization",11,5,0.16,30.55,2.51425101752132e-07,9.45717561304804e-05,2.51425101752132e-07
"GO:0006083","acetate metabolic process",6,4,0.09,44.8,6.28817558930104e-07,0.00020695957908287,6.28817558930104e-07
"GO:0061621","canonical glycolysis",10,4,0.15,26.88,8.42741620196357e-06,0.00116786246630369,8.42741620196357e-06
"GO:0006094","gluconeogenesis",23,5,0.34,14.61,1.6028952301369e-05,0.00191837415497748,1.6028952301369e-05
"GO:0042866","pyruvate biosynthetic process",13,4,0.19,20.68,2.77697515121624e-05,0.00292471022926095,2.77697515121624e-05
"GO:0017001","antibiotic catabolic process",14,4,0.21,19.2,3.84561213403631e-05,0.00389442182650677,3.84561213403631e-05
"GO:0046031","ADP metabolic process",17,4,0.25,15.81,8.8493294455617e-05,0.00776676147672132,8.8493294455617e-05
"GO:0006734","NADH metabolic process",18,4,0.27,14.93,0.000112544448691139,0.00897968283041723,0.000112544448691139
"GO:0009166","nucleotide catabolic process",19,4,0.28,14.15,0.000141012182147555,0.0106081450169861,0.000141012182147555
"GO:0009435","NAD biosynthetic process",19,4,0.28,14.15,0.000141012182147555,0.0106081450169861,0.000141012182147555
"GO:0044416","induction by symbiont of host defense response",10,3,0.15,20.16,0.000343698670297709,0.0209556707173552,0.000343698670297709
"GO:0016999","antibiotic metabolic process",43,8,0.64,12.5,1.23801167913889e-07,6.51936950234541e-05,0.000550457469941276
"GO:0006754","ATP biosynthetic process",27,4,0.4,9.96,0.000585258168359634,0.0280179046780167,0.000585258168359634
"GO:0006536","glutamate metabolic process",24,4,0.36,11.2,0.000366107426129259,0.0209556707173552,0.00116788639051302
"GO:0006099","tricarboxylic acid cycle",16,3,0.24,12.6,0.00150656821183237,0.0574897695906467,0.00150656821183237
"GO:0006101","citrate metabolic process",17,3,0.25,11.86,0.0018104414084131,0.0662068365048846,0.0018104414084131
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process",37,4,0.55,7.26,0.00197583733058981,0.0681618802022056,0.00197583733058981
"GO:0034404","nucleobase-containing small molecule biosynthetic process",37,4,0.55,7.26,0.00197583733058981,0.0681618802022056,0.00197583733058981
"GO:0006541","glutamine metabolic process",5,2,0.07,26.88,0.0021049364608512,0.0698889477449539,0.0021049364608512
"GO:0002182","cytoplasmic translational elongation",23,3,0.34,8.77,0.00442984422123074,0.128173404774731,0.00442984422123074
"GO:0019740","nitrogen utilization",9,2,0.13,14.93,0.00729550913894343,0.192057267587721,0.00729550913894343
"GO:0006855","xenobiotic transmembrane transport",28,3,0.42,7.2,0.00778012722263591,0.198884223079615,0.00778012722263591
"GO:0034599","cellular response to oxidative stress",90,5,1.34,3.73,0.00997560252222512,0.243201494824247,0.00997560252222512
"GO:0006633","fatty acid biosynthetic process",19,3,0.28,10.61,0.00252670991627185,0.0792003239231403,0.0169059061632182
"GO:0006081","cellular aldehyde metabolic process",25,3,0.37,8.06,0.00563482134468211,0.154546714589042,0.0169695543801779
"GO:0006826","iron ion transport",14,2,0.21,9.6,0.0175904985002293,0.379637561894293,0.0175904985002293
"GO:0009062","fatty acid catabolic process",15,2,0.22,8.96,0.0201064345699832,0.42693743728037,0.0201064345699832
"GO:0005975","carbohydrate metabolic process",150,9,2.23,4.03,0.000272864994626197,0.017523256850019,0.0385489310698658
