"gene_id","direction","log2FoldChange","padj","baseMean","baseMean_clay","baseMean_sandy","protein_length_aa","cysteine_percent","phobius_TM","phobius_SP","phobius_SP_prediction","eggnog_preferred_name","eggnog_description","eggnog_PFAMs"
"g5898","up_in_clay",2.703,0.0342,1.4,2.63,0.17,1039,1.06,"0","Y","n13-20c25/26o","KGD1","2-oxoglutarate dehydrogenase N-terminus","2-oxogl_dehyd_N,DUF1691,E1_dh,Glyco_hydro_72,OTU,OxoGdeHyase_C,SQS_PSY,Transket_pyr"
"g23","up_in_clay",2.621,0.04,1.36,2.44,0.29,575,2.09,"0","Y","n3-14c32/33o","no_hit","Amidase","Amidase"
"g2129","up_in_clay",2.613,0.00873,4.08,7.15,1,291,3.44,"0","Y","n5-15c20/21o","no_hit","carbohydrate-binding module family 13 protein","no_hit"
"g3141","up_in_clay",2.606,0.0404,1.3,2.43,0.17,1494,0.8,"0","Y","n4-11c19/20o","MET5","Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg","DUF1764,DUF775,Flavodoxin_1,NIR_SIR,NIR_SIR_ferr,PFOR_II,POR_N,PrmA,Sin_N"
"g3614","up_in_clay",2.448,0.0451,2.51,4.36,0.66,255,10.98,"0","Y","n8-19c27/28o","no_hit","no_hit","no_hit"
"g3201","up_in_clay",2.4,0.00287,6.73,11.27,2.19,682,0.44,"0","Y","n4-11c16/17o","no_hit","Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.","Fasciclin"
"g2120","up_in_clay",2.377,0.0289,3.06,5.11,1.01,224,0.89,"0","Y","n4-15c21/22o","no_hit","no_hit","no_hit"
"g1928","up_in_clay",2.299,0.0437,2.23,3.64,0.83,359,2.79,"0","Y","n4-15c20/21o","no_hit","Transglycosylase SLT domain","GFA,SLT"
"g2995","up_in_clay",1.911,2.29e-05,29.07,46.6,11.54,791,0,"0","Y","n3-14c19/20o","no_hit","no_hit","no_hit"
"g5411","up_in_clay",1.323,0.00221,18.16,25.77,10.54,560,1.61,"0","Y","n5-16c21/22o","no_hit","no_hit","no_hit"
